title,course_link,instructor,rating,price,description,level,skills
처음하는 코딩 - 플레이봇 (중등교육 -Javascript),https://www.inflearn.com/course/플레이봇-중등교육-자바스크립트,제주코딩베이스캠프,0,22000,"이 강좌를 통해 문법을 보다 명확하게 이해하시고, 문제 풀이에 대한 자신감을 얻으시길 바랍니다.",초급," JavaScript, 코딩 테스트, 알고리즘"
Javascript 초보 Real 웹앱 개발 - 1부: Vue 개념~초급,https://www.inflearn.com/course/real-웹앱-개발-vuejs-1부,배동훈,62,11000,4개 강좌로 구성된 자바스크립트 바이블 강좌의 2번째 강좌입니다. 자바스크립트 엔진 이해를 통해 자바스크립트에 최적화된 프로그램을 개발할 수 있습니다. 자신 있게 시스템을 설계할 수 있습니다.,초급, JavaScript
페이스북 클론 - full stack 웹 개발,https://www.inflearn.com/course/페이스북-풀스택-클론-웹개발,제주코딩베이스캠프,86,165000,4개 강좌로 구성된 자바스크립트 바이블 강좌의 1번째 강좌입니다. 기본에 충실하였습니다. 자바스크립트의 근본을 이해하는데 중점을 두었습니다. 자바스크립트 스펙의  95% 이상을 다룹니다.,초급," JavaScript, 객체지향"
자바스크립트 머신러닝 TensorFlow.js,https://www.inflearn.com/course/자바스크립트-머신러닝-tensorflow,김영보,92,132000,이 강좌는 코딩을 처음 하시는 분들에게는 빠르게 훑을 수 있는 강의가 될 것입니다. 이미 코딩을 하시는 분들에게는 복습을 빠르게 할 수 있는 강의가 될 것입니다. 이 강의를 통해 자신감을 얻으셨으면 좋겠습니다.,입문," HTML/CSS, JavaScript, Python"
생활코딩 - JavaScript Immutability,https://www.inflearn.com/course/javascript-immutability,Egoing Lee,99,0,크리에이티브 넘치는 인터랙티브 웹페이지를 개발할 수 있는 기본기를 다질 수 있는 수업입니다.,초급," Front-End, HTML/CSS, JavaScript"
나도 할 수 있다! SW강사!,https://www.inflearn.com/course/SW강사-강의,제주코딩베이스캠프,92,132000,ES6+ 제대로 알아보기 강좌는 Javascirpt의 ES6 및 이후의 표준 ECMAScript 명세에 대하여 이론을 바탕으로 ES5와 달라진 점 및 개념과 동작 원리를 깊이 있게 알려드립니다.,초급," JavaScript, ES6"
Vue.js 끝장내기 - 실무에 필요한 모든 것,https://www.inflearn.com/course/vue-js-끝내기-캡틴판교,장기효(캡틴판교),96,110000,"Vue.js 중급 강좌 -  '누구나', '쉽게', '훌륭한' 웹 어플리케이션을 만들 수 있도록 도와주는 Vue.js 활용 강좌 입니다. Vue.js 에 대한 기본적인 이해를 바탕으로 Todo 앱을 만들어 보며 코드 중심의 실용적인 지식을 배우게 됩니다.",중급이상," JavaScript, Vue.js, ES6"
웹 게임을 만들며 배우는 TypeScript,https://www.inflearn.com/course/웹게임을-만들며-배우는-typescript,조현영,73,33000,"ES6 이전까지의 자바스크립트 전체를 관통하는 핵심 개념들에 대하여, 전반적인 흐름을 살펴보는 강의입니다. ",초급," JavaScript, 알고리즘"
자바스크립트 ES6+ 기본,https://www.inflearn.com/course/자바스크립트-es6-기본,김영보,97,38500,"마플(http://www.marpple.com)의 CTO 유인동님이 알려주는 함수형 프로그래밍에 대한 강좌 입니다.
함수형 프로그래밍으로 라이브러리를 직접 만들어가며 함수형 프로그래밍의 패러다임과 코딩의 즐거움을 느낄 수 있습니다.",초급," JavaScript, 함수형 프로그래밍"
"웹 개발 슈퍼 기초 (HTML, CSS, Javascript)",https://www.inflearn.com/course/웹-개발-기초-입문,개복치개발자,94,11000,"간단한 마크다운 메모 웹 애플리케이션을 만들어봅니다. 
Notion처럼 마크다운을 사용할 수 있는 스티커 메모지에요!",초급," 웹앱, JavaScript, ES6"
제주코딩베이스캠프 Code Festival: JavaScript 100제,https://www.inflearn.com/course/제주코딩-자바스크립트-100제,제주코딩베이스캠프,90,55000,자바스크립트와 CSS로 흩어진 이미지 조각을 하나의 이미지로 완성하는 다양한 패턴의 이미지 이펙트를 따라 만들고 랜덤으로 나타나도록 처리합니다. 이 수업을 응용한다면 수강생 여러분의 독창적인 이펙트를 만들 수 있을 거라 생각되네요!,초급," Front-End, JavaScript, HTML/CSS"
3D리플릿 만들기 - 인터랙티브 웹 프로젝트,https://www.inflearn.com/course/인터랙티브웹-리플릿만들기,1분코딩,98,16500,"Javascript를 비롯한 많은 프로그래밍 언어에서 비동기작업은 가장 까다롭고 소프트웨어의 복잡도를 올리는 요소 중 하나입니다. setTimeout, setInterval 과 같은 원시적인 비동기 프로그래밍은 버리고  RxJS 를 통해 복잡했던 비동기작업들을 손쉽게 처리할 수 있습니다.",초급," JavaScript, 함수형 프로그래밍, RxJS"
자바스크립트 중고급: 근본 핵심 이해,https://www.inflearn.com/course/자바스크립트-중고급,김영보,95,38500,제주에서 진행하는 부트캠프를 온라인으로! 빠르게 자신만의 서비스를 만들어보세요! :),입문," HTML/CSS, JavaScript, Python"
"HTML, CSS, JS, Python 30분 요약강좌",https://www.inflearn.com/course/제주코딩-웹개발-30분요약,제주코딩베이스캠프,95,0,"순수 자바스크립트와 VueJS라는 UI Library를 이용하여 쇼핑몰 검색 페이지를 만들어 보며 VueJS 개발 학습을 진행합니다.
순수 자바스크립트와 VueJs 로 개발을 각기 진행하며 각 개발의 차이점과 MVC, MVVM 디자인 패턴의 차이도 배울 수 있습니다.",초급," Front-End, JavaScript, Vue.js"
자바스크립트 비기너: 튼튼한 기본 만들기,https://www.inflearn.com/course/자바스크립트-비기너,김영보,94,33000,제주코딩베이스캠프의 무료 강의가 돌아왔습니다!! 함께 1만 시간의 법칙 서비스를 만들어보고 Github에 배포까지 해봐요!! :) 아무것도 모르신다고요? 괜찮습니다. 이 강의에 모두 준비되어 있어요!,입문," HTML/CSS, JavaScript, VSCode"
"Angular, 앵귤러 100분 핵심강의",https://www.inflearn.com/course/angular-100min,노마드크리에이터,47,27500,자바스크립트로 코딩 입문하기,입문, JavaScript
Vue.js 시작하기 - Age of Vue.js,https://www.inflearn.com/course/Age-of-Vuejs,장기효(캡틴판교),99,33000,ES6+ 제대로 알아보기 강좌는 Javascirpt의 ES6 및 이후의 표준 ECMAScript 명세에 대하여 이론을 바탕으로 ES5와 달라진 점 및 개념과 동작 원리를 깊이 있게 알려드립니다.,초급," JavaScript, ES6"
TDD 개발 방법론을 활용한 React Native 앱 개발,https://www.inflearn.com/course/React-TDD,박동호,85,29700,"플레이봇은 Javascript 또는 Python으로 학생들이 SW를 보다 쉽게 학습할 수 있도록 만든 교육용 SW입니다.  여기서는 SW로 무엇을 할 수 있는지 배우고, 간단한 실습을 통해 컴퓨팅사고력을 기를 수 있도록 도움을 드립니다. (여기서 언어는 Javascript 사용)",입문, JavaScript
코알못에서 웹서비스 런칭까지 : 제주 코딩 베이스캠프(Django),https://www.inflearn.com/course/web_fullstack,제주코딩베이스캠프,90,99000,4개 강좌로 구성된 자바스크립트 바이블 강좌의 3번째 강좌입니다. 자바스크립트 스펙의 95% 이상을 다룹니다. ES6+ 환경에서 새로운 패러다임의 프로그램을 개발할 수 있습니다.,초급," JavaScript, ES6"
함수형 프로그래밍과 JavaScript ES6+ 응용편,https://www.inflearn.com/course/함수형_ES6_응용편,유인동,100,44000,"코딩을 처음 해볼까 라고 생각하신 분들을 위한 아주아주 기초적인 웹 개발에 대한 내용입니다.
",입문," HTML/CSS, JavaScript, 웹 퍼블리싱"
인터랙티브 웹 개발 제대로 시작하기,https://www.inflearn.com/course/interactive_web,1분코딩,99,55000,"인터랙티브 웹 프로젝트는, CSS와 자바스크립트를 이용해 창의적인 인터랙션이 있는 예제를 하나씩 만들어보는 시리즈입니다.",중급이상," HTML/CSS, JavaScript, 웹 퍼블리싱"
Node.js로 웹 크롤링하기,https://www.inflearn.com/course/크롤링,조현영,97,55000,"네이버, 아마존, 트위터, 유튜브, 페이스북, 인스타그램, unsplash.com 등의 사이트를 크롤링하며 실전에 적용해봅니다.",중급이상," JavaScript, Node.js, 웹 크롤링"
게임으로 배우는 JavaScript,https://www.inflearn.com/course/javascript-game,노마드크리에이터,100,0,ES6+ 제대로 알아보기 강좌는 Javascript의 ES6 및 이후의 표준 ECMAScript 명세에 대하여 이론을 바탕으로 ES5와 달라진 점 및 개념과 동작 원리를 깊이 있게 살펴봅니다.,중급이상," Front-End, JavaScript, ES6"
Vue.js 완벽 가이드 - 실습과 리팩토링으로 배우는 실전 개념,https://www.inflearn.com/course/vue-js,장기효(캡틴판교),97,77000,리액트를 누구든지 쉽고 재밌게 시작 할 수 있도록 만들어진 강좌입니다.,초급," Front-End, JavaScript, React"
함수형 프로그래밍과 JavaScript ES6+,https://www.inflearn.com/course/functional-es6,유인동,98,55000," 서버측 Javascript 인 NodeJS 를 이용해 쿠키, 로그인 기능을 구현해보고 앞선 nodeJS 강좌에서의 성과물과 합쳐 온전한 웹 애플리케이션을 만들어 보는 강좌입니다.",초급," JavaScript, Node.js"
윤재성의 처음시작하는 JavaScript Tutorials,https://www.inflearn.com/course/javascript,소프트캠퍼스,96,16500,생활코딩의 자바스크립트 언어 기본 수업입니다. 기본 문법을 통한 자바스크립트 기본에 대해 배울 수 있습니다.,입문, JavaScript
Javascript ES6+ 제대로 알아보기 - 중급,https://www.inflearn.com/course/es6-2,정재남,99,49500,"HTML / JS / CSS 만을 가지고 직접 심리 테스트 사이트를 만들고, 배포해보는 Project 사이트를 제작합니다.",초급," HTML/CSS, JavaScript, Bootstrap"
"트렐로 개발로 배우는 Vuejs, Vuex, Vue-Router 프론트엔드 실전 기술",https://www.inflearn.com/course/vuejs,김정환,97,55000,프로그래밍은 우리가 원하는 방향을 실현해주는 마법이에요. 우리 주변의 웹 서비스의 문제를 해결하며 웹 프로그래밍을 경험해봅니다.,입문," HTML/CSS, JavaScript, 웹 개발"
자바스크립트로 알아보는 함수형 프로그래밍 (ES5),https://www.inflearn.com/course/함수형-프로그래밍,유인동,97,0,"이 강의는 초보 Javascript 개발자가 직접 Real 웹앱을 개발할 수 있는 개발자가 되는 것에 초점을 맞추고 있습니다.
이 강의를 수강하시면 Vue.js 와 관련된 기본적인 개념부터 Real 웹앱 개발을 해 볼 수 있습니다.  
이 강의는 1부 기본기 이며, 2부와 3부를 통해서 실제 Real 웹앱을 구현해 보도록 하겠습니다.
Javascript 나 CSS 와 같은 선수지식 없이도 기본적인 간단한 Html 만 알아도, 
학습할 수 있도록 쉽게 구성하였습니다.  
강의 후반부가 되면, 분명 Vue.js  에 대한 기본 코딩이 가능할 수 있을 것입니다.",입문," Front-End, JavaScript, Vue.js"
누구든지 하는 리액트: 초심자를 위한 react 핵심 강좌,https://www.inflearn.com/course/react-velopert,velopert(김 민준),95,16500,"생활코딩에서 제공하는 자바스크립트 관련 강의로, 자바스크립트에서 데이터를 불변하게 다루는 방법에 대한 수업입니다.",초급, JavaScript
Javascript ES6+ 제대로 알아보기 - 초급,https://www.inflearn.com/course/ecmascript-6-flow,정재남,99,35200,개발자 출신의 교육 전문가들이 만든 최고품질의 소프트웨어 교육기관 코드스쿼드에서 진행하는 코드스쿼드 마스터즈 코스 레벨1 입니다. Javascript 입문 과정으로서 직접 프로그래밍을 구현을 통해서 코딩의 기초 개념을 배우는것을 목표로 하고 있습니다.,입문, JavaScript
"Vue.js 중급 강좌 - 웹앱 제작으로 배워보는 Vue.js, ES6, Vuex",https://www.inflearn.com/course/vue-pwa-vue-js-중급,장기효(캡틴판교),98,49500,https://opentutorials.org(생활코딩 사이트)를 만들어가면서 JavaScript에 대한 지식과 경험을 동시에 채워드리기 위한 목적으로 만들어진 수업입니다. ,초급, JavaScript
쉽고 자연스럽게 배워보는 Javascript 입문 - 코드스쿼드 마스터즈 코스 레벨1,https://www.inflearn.com/course/javascript-자바스크립트-codesquad-masters_lv1,호눅스,88,22000,"자바스크립트 입문을 하시고 싶으신가요?
그럼 저의 강의를 선택해 주세요.",초급, JavaScript
